# FELIX	FELIX_CH	CHIP	CHANNEL
0	1	13	126
0	1	13	127
0	1	15	126
0	1	16	126
0	1	17	126
0	1	20	126
0	1	21	126
0	1	22	126
0	1	25	100
0	1	25	126
0	5	0	36
0	6	4	39
0	12	20	125
1	0	17	117
1	0	25	114
1	2	14	0
1	4	2	127
1	7	0	0
1	7	0	1
1	7	0	2
1	7	0	3
1	7	0	4
1	7	0	5
1	7	0	6
1	7	0	7
1	7	0	8
1	7	0	9
1	7	0	10
1	7	0	11
1	7	0	12
1	7	0	13
1	7	0	14
1	7	0	15
1	7	0	16
1	7	0	17
1	7	0	18
1	7	0	19
1	7	0	20
1	7	0	21
1	7	0	22
1	7	0	23
1	7	0	24
1	7	0	25
1	7	0	26
1	7	0	27
1	7	0	28
1	7	0	29
1	7	0	30
1	7	0	31
1	7	0	32
1	7	0	33
1	7	0	34
1	7	0	35
1	7	0	36
1	7	0	37
1	7	0	38
1	7	0	39
1	7	0	40
1	7	0	41
1	7	0	42
1	7	0	43
1	7	0	44
1	7	0	45
1	7	0	46
1	7	0	47
1	7	0	48
1	7	0	49
1	7	0	50
1	7	0	51
1	7	0	52
1	7	0	53
1	7	0	54
1	7	0	55
1	7	0	56
1	7	0	57
1	7	0	58
1	7	0	59
1	7	0	60
1	7	0	61
1	7	0	62
1	7	0	63
1	7	0	64
1	7	0	65
1	7	0	66
1	7	0	67
1	7	0	68
1	7	0	69
1	7	0	70
1	7	0	71
1	7	0	72
1	7	0	73
1	7	0	74
1	7	0	75
1	7	0	76
1	7	0	77
1	7	0	78
1	7	0	79
1	7	0	80
1	7	0	81
1	7	0	82
1	7	0	83
1	7	0	84
1	7	0	85
1	7	0	86
1	7	0	87
1	7	0	88
1	7	0	89
1	7	0	90
1	7	0	91
1	7	0	92
1	7	0	93
1	7	0	94
1	7	0	95
1	7	0	96
1	7	0	97
1	7	0	98
1	7	0	99
1	7	0	100
1	7	0	101
1	7	0	102
1	7	0	103
1	7	0	104
1	7	0	105
1	7	0	106
1	7	0	107
1	7	0	108
1	7	0	109
1	7	0	110
1	7	0	111
1	7	0	112
1	7	0	113
1	7	0	114
1	7	0	115
1	7	0	116
1	7	0	117
1	7	0	118
1	7	0	119
1	7	0	120
1	7	0	121
1	7	0	122
1	7	0	123
1	7	0	124
1	7	0	125
1	7	0	126
1	7	0	127
1	7	1	0
1	7	1	1
1	7	1	2
1	7	1	3
1	7	1	4
1	7	1	5
1	7	1	6
1	7	1	7
1	7	1	8
1	7	1	9
1	7	1	10
1	7	1	11
1	7	1	12
1	7	1	13
1	7	1	14
1	7	1	15
1	7	1	16
1	7	1	17
1	7	1	18
1	7	1	19
1	7	1	20
1	7	1	21
1	7	1	22
1	7	1	23
1	7	1	24
1	7	1	25
1	7	1	26
1	7	1	27
1	7	1	28
1	7	1	29
1	7	1	30
1	7	1	31
1	7	1	32
1	7	1	33
1	7	1	34
1	7	1	35
1	7	1	36
1	7	1	37
1	7	1	38
1	7	1	39
1	7	1	40
1	7	1	41
1	7	1	42
1	7	1	43
1	7	1	44
1	7	1	45
1	7	1	46
1	7	1	47
1	7	1	48
1	7	1	49
1	7	1	50
1	7	1	51
1	7	1	52
1	7	1	53
1	7	1	54
1	7	1	55
1	7	1	56
1	7	1	57
1	7	1	58
1	7	1	59
1	7	1	60
1	7	1	61
1	7	1	62
1	7	1	63
1	7	1	64
1	7	1	65
1	7	1	66
1	7	1	67
1	7	1	68
1	7	1	69
1	7	1	70
1	7	1	71
1	7	1	72
1	7	1	73
1	7	1	74
1	7	1	75
1	7	1	76
1	7	1	77
1	7	1	78
1	7	1	79
1	7	1	80
1	7	1	81
1	7	1	82
1	7	1	83
1	7	1	84
1	7	1	85
1	7	1	86
1	7	1	87
1	7	1	88
1	7	1	89
1	7	1	90
1	7	1	91
1	7	1	92
1	7	1	93
1	7	1	94
1	7	1	95
1	7	1	96
1	7	1	97
1	7	1	98
1	7	1	99
1	7	1	100
1	7	1	101
1	7	1	102
1	7	1	103
1	7	1	104
1	7	1	105
1	7	1	106
1	7	1	107
1	7	1	108
1	7	1	109
1	7	1	110
1	7	1	111
1	7	1	112
1	7	1	113
1	7	1	114
1	7	1	115
1	7	1	116
1	7	1	117
1	7	1	118
1	7	1	119
1	7	1	120
1	7	1	121
1	7	1	122
1	7	1	123
1	7	1	124
1	7	1	125
1	7	1	126
1	7	1	127
1	7	2	0
1	7	2	1
1	7	2	2
1	7	2	3
1	7	2	4
1	7	2	5
1	7	2	6
1	7	2	7
1	7	2	8
1	7	2	9
1	7	2	10
1	7	2	11
1	7	2	12
1	7	2	13
1	7	2	14
1	7	2	15
1	7	2	16
1	7	2	17
1	7	2	18
1	7	2	19
1	7	2	20
1	7	2	21
1	7	2	22
1	7	2	23
1	7	2	24
1	7	2	25
1	7	2	26
1	7	2	27
1	7	2	28
1	7	2	29
1	7	2	30
1	7	2	31
1	7	2	32
1	7	2	33
1	7	2	34
1	7	2	35
1	7	2	36
1	7	2	37
1	7	2	38
1	7	2	39
1	7	2	40
1	7	2	41
1	7	2	42
1	7	2	43
1	7	2	44
1	7	2	45
1	7	2	46
1	7	2	47
1	7	2	48
1	7	2	49
1	7	2	50
1	7	2	51
1	7	2	52
1	7	2	53
1	7	2	54
1	7	2	55
1	7	2	56
1	7	2	57
1	7	2	58
1	7	2	59
1	7	2	60
1	7	2	61
1	7	2	62
1	7	2	63
1	7	2	64
1	7	2	65
1	7	2	66
1	7	2	67
1	7	2	68
1	7	2	69
1	7	2	70
1	7	2	71
1	7	2	72
1	7	2	73
1	7	2	74
1	7	2	75
1	7	2	76
1	7	2	77
1	7	2	78
1	7	2	79
1	7	2	80
1	7	2	81
1	7	2	82
1	7	2	83
1	7	2	84
1	7	2	85
1	7	2	86
1	7	2	87
1	7	2	88
1	7	2	89
1	7	2	90
1	7	2	91
1	7	2	92
1	7	2	93
1	7	2	94
1	7	2	95
1	7	2	96
1	7	2	97
1	7	2	98
1	7	2	99
1	7	2	100
1	7	2	101
1	7	2	102
1	7	2	103
1	7	2	104
1	7	2	105
1	7	2	106
1	7	2	107
1	7	2	108
1	7	2	109
1	7	2	110
1	7	2	111
1	7	2	112
1	7	2	113
1	7	2	114
1	7	2	115
1	7	2	116
1	7	2	117
1	7	2	118
1	7	2	119
1	7	2	120
1	7	2	121
1	7	2	122
1	7	2	123
1	7	2	124
1	7	2	125
1	7	2	126
1	7	2	127
1	7	3	0
1	7	3	1
1	7	3	2
1	7	3	3
1	7	3	4
1	7	3	5
1	7	3	6
1	7	3	7
1	7	3	8
1	7	3	9
1	7	3	10
1	7	3	11
1	7	3	12
1	7	3	13
1	7	3	14
1	7	3	15
1	7	3	16
1	7	3	17
1	7	3	18
1	7	3	19
1	7	3	20
1	7	3	21
1	7	3	22
1	7	3	23
1	7	3	24
1	7	3	25
1	7	3	26
1	7	3	27
1	7	3	28
1	7	3	29
1	7	3	30
1	7	3	31
1	7	3	32
1	7	3	33
1	7	3	34
1	7	3	35
1	7	3	36
1	7	3	37
1	7	3	38
1	7	3	39
1	7	3	40
1	7	3	41
1	7	3	42
1	7	3	43
1	7	3	44
1	7	3	45
1	7	3	46
1	7	3	47
1	7	3	48
1	7	3	49
1	7	3	50
1	7	3	51
1	7	3	52
1	7	3	53
1	7	3	54
1	7	3	55
1	7	3	56
1	7	3	57
1	7	3	58
1	7	3	59
1	7	3	60
1	7	3	61
1	7	3	62
1	7	3	63
1	7	3	64
1	7	3	65
1	7	3	66
1	7	3	67
1	7	3	68
1	7	3	69
1	7	3	70
1	7	3	71
1	7	3	72
1	7	3	73
1	7	3	74
1	7	3	75
1	7	3	76
1	7	3	77
1	7	3	78
1	7	3	79
1	7	3	80
1	7	3	81
1	7	3	82
1	7	3	83
1	7	3	84
1	7	3	85
1	7	3	86
1	7	3	87
1	7	3	88
1	7	3	89
1	7	3	90
1	7	3	91
1	7	3	92
1	7	3	93
1	7	3	94
1	7	3	95
1	7	3	96
1	7	3	97
1	7	3	98
1	7	3	99
1	7	3	100
1	7	3	101
1	7	3	102
1	7	3	103
1	7	3	104
1	7	3	105
1	7	3	106
1	7	3	107
1	7	3	108
1	7	3	109
1	7	3	110
1	7	3	111
1	7	3	112
1	7	3	113
1	7	3	114
1	7	3	115
1	7	3	116
1	7	3	117
1	7	3	118
1	7	3	119
1	7	3	120
1	7	3	121
1	7	3	122
1	7	3	123
1	7	3	124
1	7	3	125
1	7	3	126
1	7	3	127
1	7	4	0
1	7	4	1
1	7	4	2
1	7	4	3
1	7	4	4
1	7	4	5
1	7	4	6
1	7	4	7
1	7	4	8
1	7	4	9
1	7	4	10
1	7	4	11
1	7	4	12
1	7	4	13
1	7	4	14
1	7	4	15
1	7	4	16
1	7	4	17
1	7	4	18
1	7	4	19
1	7	4	20
1	7	4	21
1	7	4	22
1	7	4	23
1	7	4	24
1	7	4	25
1	7	4	26
1	7	4	27
1	7	4	28
1	7	4	29
1	7	4	30
1	7	4	31
1	7	4	32
1	7	4	33
1	7	4	34
1	7	4	35
1	7	4	36
1	7	4	37
1	7	4	38
1	7	4	39
1	7	4	40
1	7	4	41
1	7	4	42
1	7	4	43
1	7	4	44
1	7	4	45
1	7	4	46
1	7	4	47
1	7	4	48
1	7	4	49
1	7	4	50
1	7	4	51
1	7	4	52
1	7	4	53
1	7	4	54
1	7	4	55
1	7	4	56
1	7	4	57
1	7	4	58
1	7	4	59
1	7	4	60
1	7	4	61
1	7	4	62
1	7	4	63
1	7	4	64
1	7	4	65
1	7	4	66
1	7	4	67
1	7	4	68
1	7	4	69
1	7	4	70
1	7	4	71
1	7	4	72
1	7	4	73
1	7	4	74
1	7	4	75
1	7	4	76
1	7	4	77
1	7	4	78
1	7	4	79
1	7	4	80
1	7	4	81
1	7	4	82
1	7	4	83
1	7	4	84
1	7	4	85
1	7	4	86
1	7	4	87
1	7	4	88
1	7	4	89
1	7	4	90
1	7	4	91
1	7	4	92
1	7	4	93
1	7	4	94
1	7	4	95
1	7	4	96
1	7	4	97
1	7	4	98
1	7	4	99
1	7	4	100
1	7	4	101
1	7	4	102
1	7	4	103
1	7	4	104
1	7	4	105
1	7	4	106
1	7	4	107
1	7	4	108
1	7	4	109
1	7	4	110
1	7	4	111
1	7	4	112
1	7	4	113
1	7	4	114
1	7	4	115
1	7	4	116
1	7	4	117
1	7	4	118
1	7	4	119
1	7	4	120
1	7	4	121
1	7	4	122
1	7	4	123
1	7	4	124
1	7	4	125
1	7	4	126
1	7	4	127
1	7	5	0
1	7	5	1
1	7	5	2
1	7	5	3
1	7	5	4
1	7	5	5
1	7	5	6
1	7	5	7
1	7	5	8
1	7	5	9
1	7	5	10
1	7	5	11
1	7	5	12
1	7	5	13
1	7	5	14
1	7	5	15
1	7	5	16
1	7	5	17
1	7	5	18
1	7	5	19
1	7	5	20
1	7	5	21
1	7	5	22
1	7	5	23
1	7	5	24
1	7	5	25
1	7	5	26
1	7	5	27
1	7	5	28
1	7	5	29
1	7	5	30
1	7	5	31
1	7	5	32
1	7	5	33
1	7	5	34
1	7	5	35
1	7	5	36
1	7	5	37
1	7	5	38
1	7	5	39
1	7	5	40
1	7	5	41
1	7	5	42
1	7	5	43
1	7	5	44
1	7	5	45
1	7	5	46
1	7	5	47
1	7	5	48
1	7	5	49
1	7	5	50
1	7	5	51
1	7	5	52
1	7	5	53
1	7	5	54
1	7	5	55
1	7	5	56
1	7	5	57
1	7	5	58
1	7	5	59
1	7	5	60
1	7	5	61
1	7	5	62
1	7	5	63
1	7	5	64
1	7	5	65
1	7	5	66
1	7	5	67
1	7	5	68
