# FELIX	FELIX_CH	CHIP	CHANNEL
0	1	0	0
0	1	0	1
0	1	0	2
0	1	0	3
0	1	0	4
0	1	0	5
0	1	0	6
0	1	0	7
0	1	0	8
0	1	0	9
0	1	0	10
0	1	0	11
0	1	0	12
0	1	0	13
0	1	0	14
0	1	0	15
0	1	0	16
0	1	0	17
0	1	0	18
0	1	0	19
0	1	0	20
0	1	0	21
0	1	0	22
0	1	0	23
0	1	0	24
0	1	0	25
0	1	0	26
0	1	0	27
0	1	0	28
0	1	0	29
0	1	0	30
0	1	0	31
0	1	0	32
0	1	0	33
0	1	0	34
0	1	0	35
0	1	0	36
0	1	0	37
0	1	0	38
0	1	0	39
0	1	0	40
0	1	0	41
0	1	0	42
0	1	0	43
0	1	0	44
0	1	0	45
0	1	0	46
0	1	0	47
0	1	0	48
0	1	0	49
0	1	0	50
0	1	0	51
0	1	0	52
0	1	0	53
0	1	0	54
0	1	0	55
0	1	0	56
0	1	0	57
0	1	0	58
0	1	0	59
0	1	0	60
0	1	0	61
0	1	0	62
0	1	0	63
0	1	0	64
0	1	0	65
0	1	0	66
0	1	0	67
0	1	0	68
0	1	0	69
0	1	0	70
0	1	0	71
0	1	0	72
0	1	0	73
0	1	0	74
0	1	0	75
0	1	0	76
0	1	0	77
0	1	0	78
0	1	0	79
0	1	0	80
0	1	0	81
0	1	0	82
0	1	0	83
0	1	0	84
0	1	0	85
0	1	0	86
0	1	0	87
0	1	0	88
0	1	0	89
0	1	0	90
0	1	0	91
0	1	0	92
0	1	0	93
0	1	0	94
0	1	0	95
0	1	0	96
0	1	0	97
0	1	0	98
0	1	0	99
0	1	0	100
0	1	0	101
0	1	0	102
0	1	0	103
0	1	0	104
0	1	0	105
0	1	0	106
0	1	0	107
0	1	0	108
0	1	0	109
0	1	0	110
0	1	0	111
0	1	0	112
0	1	0	113
0	1	0	114
0	1	0	115
0	1	0	116
0	1	0	117
0	1	0	118
0	1	0	119
0	1	0	120
0	1	0	121
0	1	0	122
0	1	0	123
0	1	0	124
0	1	0	125
0	1	0	126
0	1	0	127
0	1	1	0
0	1	1	1
0	1	1	2
0	1	1	3
0	1	1	4
0	1	1	5
0	1	1	6
0	1	1	7
0	1	1	8
0	1	1	9
0	1	1	10
0	1	1	11
0	1	1	12
0	1	1	13
0	1	1	14
0	1	1	15
0	1	1	16
0	1	1	17
0	1	1	18
0	1	1	19
0	1	1	20
0	1	1	21
0	1	1	22
0	1	1	23
0	1	1	24
0	1	1	25
0	1	1	26
0	1	1	27
0	1	1	28
0	1	1	29
0	1	1	30
0	1	1	31
0	1	1	32
0	1	1	33
0	1	1	34
0	1	1	35
0	1	1	36
0	1	1	37
0	1	1	38
0	1	1	39
0	1	1	40
0	1	1	41
0	1	1	42
0	1	1	43
0	1	1	44
0	1	1	45
0	1	1	46
0	1	1	47
0	1	1	48
0	1	1	49
0	1	1	50
0	1	1	51
0	1	1	52
0	1	1	53
0	1	1	54
0	1	1	55
0	1	1	56
0	1	1	57
0	1	1	58
0	1	1	59
0	1	1	60
0	1	1	61
0	1	1	62
0	1	1	63
0	1	1	64
0	1	1	65
0	1	1	66
0	1	1	67
0	1	1	68
0	1	1	69
0	1	1	70
0	1	1	71
0	1	1	72
0	1	1	73
0	1	1	74
0	1	1	75
0	1	1	76
0	1	1	77
0	1	1	78
0	1	1	79
0	1	1	80
0	1	1	81
0	1	1	82
0	1	1	83
0	1	1	84
0	1	1	85
0	1	1	86
0	1	1	87
0	1	1	88
0	1	1	89
0	1	1	90
0	1	1	91
0	1	1	92
0	1	1	93
0	1	1	94
0	1	1	95
0	1	1	96
0	1	1	97
0	1	1	98
0	1	1	99
0	1	1	100
0	1	1	101
0	1	1	102
0	1	1	103
0	1	1	104
0	1	1	105
0	1	1	106
0	1	1	107
0	1	1	108
0	1	1	109
0	1	1	110
0	1	1	111
0	1	1	112
0	1	1	113
0	1	1	114
0	1	1	115
0	1	1	116
0	1	1	117
0	1	1	118
0	1	1	119
0	1	1	120
0	1	1	121
0	1	1	122
0	1	1	123
0	1	1	124
0	1	1	125
0	1	1	126
0	1	1	127
0	1	2	0
0	1	2	1
0	1	2	2
0	1	2	3
0	1	2	4
0	1	2	5
0	1	2	6
0	1	2	7
0	1	2	8
0	1	2	9
0	1	2	10
0	1	2	11
0	1	2	12
0	1	2	13
0	1	2	14
0	1	2	15
0	1	2	16
0	1	2	17
0	1	2	18
0	1	2	19
0	1	2	20
0	1	2	21
0	1	2	22
0	1	2	23
0	1	2	24
0	1	2	25
0	1	2	26
0	1	2	27
0	1	2	28
0	1	2	29
0	1	2	30
0	1	2	31
0	1	2	32
0	1	2	33
0	1	2	34
0	1	2	35
0	1	2	36
0	1	2	37
0	1	2	38
0	1	2	39
0	1	2	40
0	1	2	41
0	1	2	42
0	1	2	43
0	1	2	44
0	1	2	45
0	1	2	46
0	1	2	47
0	1	2	48
0	1	2	49
0	1	2	50
0	1	2	51
0	1	2	52
0	1	2	53
0	1	2	54
0	1	2	55
0	1	2	56
0	1	2	57
0	1	2	58
0	1	2	59
0	1	2	60
0	1	2	61
0	1	2	62
0	1	2	63
0	1	2	64
0	1	2	65
0	1	2	66
0	1	2	67
0	1	2	68
0	1	2	69
0	1	2	70
0	1	2	71
0	1	2	72
0	1	2	73
0	1	2	74
0	1	2	75
0	1	2	76
0	1	2	77
0	1	2	78
0	1	2	79
0	1	2	80
0	1	2	81
0	1	2	82
0	1	2	83
0	1	2	84
0	1	2	85
0	1	2	86
0	1	2	87
0	1	2	88
0	1	2	89
0	1	2	90
0	1	2	91
0	1	2	92
0	1	2	93
0	1	2	94
0	1	2	95
0	1	2	96
0	1	2	97
0	1	2	98
0	1	2	99
0	1	2	100
0	1	2	101
0	1	2	102
0	1	2	103
0	1	2	104
0	1	2	105
0	1	2	106
0	1	2	107
0	1	2	108
0	1	2	109
0	1	2	110
0	1	2	111
0	1	2	112
0	1	2	113
0	1	2	114
0	1	2	115
0	1	2	116
0	1	2	117
0	1	2	118
0	1	2	119
0	1	2	120
0	1	2	121
0	1	2	122
0	1	2	123
0	1	2	124
0	1	2	125
0	1	2	126
0	1	2	127
0	1	3	0
0	1	3	1
0	1	3	2
0	1	3	3
0	1	3	4
0	1	3	5
0	1	3	6
0	1	3	7
0	1	3	8
0	1	3	9
0	1	3	10
0	1	3	11
0	1	3	12
0	1	3	13
0	1	3	14
0	1	3	15
0	1	3	16
0	1	3	17
0	1	3	18
0	1	3	19
0	1	3	20
0	1	3	21
0	1	3	22
0	1	3	23
0	1	3	24
0	1	3	25
0	1	3	26
0	1	3	27
0	1	3	28
0	1	3	29
0	1	3	30
0	1	3	31
0	1	3	32
0	1	3	33
0	1	3	34
0	1	3	35
0	1	3	36
0	1	3	37
0	1	3	38
0	1	3	39
0	1	3	40
0	1	3	41
0	1	3	42
0	1	3	43
0	1	3	44
0	1	3	45
0	1	3	46
0	1	3	47
0	1	3	48
0	1	3	49
0	1	3	50
0	1	3	51
0	1	3	52
0	1	3	53
0	1	3	54
0	1	3	55
0	1	3	56
0	1	3	57
0	1	3	58
0	1	3	59
0	1	3	60
0	1	3	61
0	1	3	62
0	1	3	63
0	1	3	64
0	1	3	65
0	1	3	66
0	1	3	67
0	1	3	68
0	1	3	69
0	1	3	70
0	1	3	71
0	1	3	72
0	1	3	73
0	1	3	74
0	1	3	75
0	1	3	76
0	1	3	77
0	1	3	78
0	1	3	79
0	1	3	80
0	1	3	81
0	1	3	82
0	1	3	83
0	1	3	84
0	1	3	85
0	1	3	86
0	1	3	87
0	1	3	88
0	1	3	89
0	1	3	90
0	1	3	91
0	1	3	92
0	1	3	93
0	1	3	94
0	1	3	95
0	1	3	96
0	1	3	97
0	1	3	98
0	1	3	99
0	1	3	100
0	1	3	101
0	1	3	102
0	1	3	103
0	1	3	104
0	1	3	105
0	1	3	106
0	1	3	107
0	1	3	108
0	1	3	109
0	1	3	110
0	1	3	111
0	1	3	112
0	1	3	113
0	1	3	114
0	1	3	115
0	1	3	116
0	1	3	117
0	1	3	118
0	1	3	119
0	1	3	120
0	1	3	121
0	1	3	122
0	1	3	123
0	1	3	124
0	1	3	125
0	1	3	126
0	1	3	127
0	1	4	0
0	1	4	1
0	1	4	2
0	1	4	3
0	1	4	4
0	1	4	5
0	1	4	6
0	1	4	7
0	1	4	8
0	1	4	9
0	1	4	10
0	1	4	11
0	1	4	12
0	1	4	13
0	1	4	14
0	1	4	15
0	1	4	16
0	1	4	17
0	1	4	18
0	1	4	19
0	1	4	20
0	1	4	21
0	1	4	22
0	1	4	23
0	1	4	24
0	1	4	25
0	1	4	26
0	1	4	27
0	1	4	28
0	1	4	29
0	1	4	30
0	1	4	31
0	1	4	32
0	1	4	33
0	1	4	34
0	1	4	35
0	1	4	36
0	1	4	37
0	1	4	38
0	1	4	39
0	1	4	40
0	1	4	41
0	1	4	42
0	1	4	43
0	1	4	44
0	1	4	45
0	1	4	46
0	1	4	47
0	1	4	48
0	1	4	49
0	1	4	50
0	1	4	51
0	1	4	52
0	1	4	53
0	1	4	54
0	1	4	55
0	1	4	56
0	1	4	57
0	1	4	58
0	1	4	59
0	1	4	60
0	1	4	61
0	1	4	62
0	1	4	63
0	1	4	64
0	1	4	65
0	1	4	66
0	1	4	67
0	1	4	68
0	1	4	69
0	1	4	70
0	1	4	71
0	1	4	72
0	1	4	73
0	1	4	74
0	1	4	75
0	1	4	76
0	1	4	77
0	1	4	78
0	1	4	79
0	1	4	80
0	1	4	81
0	1	4	82
0	1	4	83
